,Date,Rets
0,20110131,1.0
1,20110228,0.9898655628632389
2,20110331,1.0825610075823018
3,20110430,0.995922768213391
4,20110531,1.0057669198487371
5,20110630,1.014535269461898
6,20110731,0.9427373402481232
7,20110831,0.9044718364939555
8,20110930,1.0036611567706182
9,20111031,1.06856797637543
10,20111130,0.8909882038421428
11,20111231,0.9529671008650991
12,20120131,1.063580096073325
13,20120229,1.09569867667947
14,20120331,0.9166033744028375
15,20120430,0.9654762009133133
16,20120531,0.8506704254510064
17,20120630,1.0521547349094988
18,20120731,0.9349227765689303
19,20120831,1.0396238977261447
20,20120930,1.085659155240789
21,20121031,0.8399687078633453
22,20121130,1.0443304329548393
23,20121231,0.9955200495765013
24,20130131,0.9599580500168818
25,20130228,0.9467378987557221
26,20130331,1.012700669959693
27,20130430,0.9934872487497859
28,20130531,1.0846960904097287
29,20130630,0.9420987862337044
30,20130731,1.0905514124396825
31,20130831,0.9765739959749931
32,20130930,1.0121851388774235
33,20131031,0.9711669846564259
34,20131130,1.1200693906831132
35,20131231,1.0400110518983712
36,20140131,0.9514663015954883
37,20140228,1.0821693688883827
38,20140331,1.1568262748189553
39,20140430,1.043413581908837
40,20140531,1.1273347994755132
41,20140630,1.0911313254271915
42,20140731,0.9456993382843611
43,20140831,1.0281444102598467
44,20140930,1.006453931568841
45,20141031,0.9939981924364438
46,20141130,1.0690520018763325
47,20141231,0.9914463496618794
0,20150131,1.0
1,20150228,1.04129893
2,20150331,0.9908870040000001
3,20150430,0.997866543
4,20150531,0.992072035
5,20150630,0.971430369
6,20150731,1.093286857
7,20150831,0.9731184959999999
8,20150930,0.972336579
9,20151031,1.015543157
10,20151130,1.039392771
11,20151231,1.001314027
12,20160131,0.915580698
13,20160229,0.9396950820000001
14,20160331,1.077901794
15,20160430,1.064939582
16,20160531,1.0914170840000001
17,20160630,1.033536105
18,20160731,1.117156423
19,20160831,1.057628995
20,20160930,0.9999438970000001
21,20161031,1.008067794
22,20161130,0.964872882
23,20161231,0.9361771440000001
24,20170131,1.003739116
25,20170228,1.106180625
26,20170331,0.96647763
27,20170430,1.026428585
28,20170531,1.001712605
29,20170630,1.037397283
30,20170731,1.0262510809999998
31,20170831,1.016681387
32,20170930,0.959117392
33,20171031,1.070659198
34,20171130,0.9897560870000001
35,20171231,1.064780771
36,20180131,0.949110847
37,20180228,0.948178031
38,20180331,0.97996575
39,20180430,1.058055414
40,20180531,0.9591372429999999
41,20180630,1.000792473
42,20180731,1.017502753
43,20180831,1.0273627440000002
44,20180930,0.929958675
45,20181031,0.9810816059999999
46,20181130,1.048550941
47,20181231,1.0378128420000001
48,20190131,1.0
49,20190228,1.034118927
50,20190331,1.02371001
51,20190430,0.948679156
52,20190531,0.9397377020000001
53,20190630,0.9582142020000001
54,20190731,0.981239036
55,20190831,1.042828323
56,20190930,1.032785626
57,20191031,1.055689265
58,20191130,0.978360626
59,20191231,0.9488594659999999
60,20200131,0.9458952979999999
61,20200229,0.914979285
62,20200331,0.832432762
63,20200430,1.276084647
64,20200531,1.045960968
65,20200630,1.184078872
66,20200731,1.08721563
67,20200831,0.9953587279999999
68,20200930,0.9293094940000001
69,20201031,1.0286431759999999
70,20201130,1.179396753
